tag,event_type,event_site,event_date,event_release_site,event_release_date,mark_date,cth_count
3DD.003BDCC349,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC34B,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC34E,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC350,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC352,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC353,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC356,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC359,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC35A,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC35E,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC361,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC362,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC363,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC364,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC367,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC369,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC36C,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC36D,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC36E,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC36F,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC371,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC373,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC374,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC375,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC376,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC377,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC378,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC37A,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC37B,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC380,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC382,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC383,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC384,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003D284961,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D284962,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D284963,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284964,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003D284965,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284966,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003D284967,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
