tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,radio_tag,mark_count
3DD.0078E12C48,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,82,1
3DD.0078E12C49,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,NA,1
3DD.0078E12C4A,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,2,1
3DD.0078E12C4B,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/23/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,12,1
3DD.0078E12C4D,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,41,1
3DD.0078E12C4E,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,33,1
3DD.0078E12C4F,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,24,1
3DD.0078E12C50,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,NA,1
3DD.0078E12C51,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,83,1
3DD.0078E12C52,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,NA,1
3DD.0078E12C53,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/23/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,15,1
3DD.0078E12C55,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,23,1
3DD.0078E12C56,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/23/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,19,1
3DD.0078E12C57,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/23/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,4,1
3DD.0078E12C58,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,37,1
3DD.0078E12C59,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,3,1
3DD.0078E12C5B,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,6,1
3DD.0078E12C5C,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/23/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,13,1
3DD.0078E12C5D,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/23/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,21,1
3DD.0078E12C5E,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,NA,1
3DD.0078E12C60,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/23/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,28,1
3DD.0078E12C61,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,NA,1
3DD.0078E12C63,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,34,1
3DD.0078E12C64,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,NA,1
3DD.0078E12C65,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,39,1
3DD.0078E12C66,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,NA,1
3DD.0078E12C67,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,36,1
