tag,mark_file,site,first_time,last_time,first_antenna_group,last_antenna_group,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,release_site,count
3DD.003B9C10FF,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:31:33 AM,8/11/2018 2:31:33 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10FF,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/15/2018 12:39:32 AM,8/15/2018 12:39:32 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1100,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:22:14 AM,8/11/2018 2:22:14 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1100,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/16/2018 12:09:22 AM,8/16/2018 12:09:22 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1101,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,5/4/2019 9:23:51 PM,5/4/2019 9:27:16 PM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1101,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 3:30:54 AM,8/11/2018 3:30:54 AM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1101,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/16/2018 12:43:19 AM,8/16/2018 12:43:19 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1104,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 8:57:06 PM,8/11/2018 8:57:06 PM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1107,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:03:13 AM,8/11/2018 2:03:13 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1107,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,4/20/2019 12:57:21 AM,4/20/2019 12:59:08 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1108,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,9/7/2018 9:18:11 PM,9/7/2018 9:19:48 PM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1108,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/15/2018 9:44:56 PM,8/15/2018 9:44:56 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1109,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 8:22:26 PM,8/11/2018 8:22:26 PM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1109,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/16/2018 10:00:30 PM,8/16/2018 10:00:30 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C110F,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/14/2018 3:44:58 AM,8/14/2018 3:44:58 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1111,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 8:51:32 PM,8/11/2018 8:51:41 PM,Downstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1112,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/14/2018 10:25:18 PM,8/14/2018 10:25:18 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1115,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 3:05:27 AM,8/11/2018 3:05:38 AM,Downstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1115,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/15/2018 11:55:23 PM,8/15/2018 11:55:23 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1117,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:41:56 AM,8/11/2018 2:41:56 AM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1118,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/15/2018 1:53:26 AM,8/15/2018 1:53:32 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1119,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:53:07 AM,8/11/2018 2:53:07 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1119,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/15/2018 11:47:11 PM,8/15/2018 11:47:11 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C111B,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 1:01:33 AM,8/11/2018 1:01:33 AM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C111B,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/14/2018 8:49:29 PM,8/14/2018 8:49:31 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C111C,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 3:20:19 AM,8/11/2018 3:20:27 AM,Downstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C111C,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/16/2018 1:09:14 AM,8/16/2018 1:09:14 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C111E,AJG-2018-222-CDK.xml,CMU - Chewuch River Middle Upper,5/5/2023 12:22:11 PM,5/5/2023 12:22:11 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C111E,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,4/20/2019 12:30:53 AM,4/20/2019 12:36:30 AM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C111E,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 8:54:09 PM,8/11/2018 8:54:09 PM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1120,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 3:40:35 AM,8/11/2018 3:40:35 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1121,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 3:10:52 AM,8/11/2018 3:10:52 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1121,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/16/2018 10:57:01 PM,8/16/2018 10:57:01 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C1122,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 1:05:35 AM,8/11/2018 1:05:35 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
