tag_code,release_site,release_date,release_year,release_lat,release_lon
3DD.003BDCC36F,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC371,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC373,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC374,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC375,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC376,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC377,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC378,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC37A,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC37B,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC380,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC382,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC383,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC384,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003D284961,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284962,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284963,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284964,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284965,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284966,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284967,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284968,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284969,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28496A,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28496B,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D28496C,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28496D,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28496E,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D28496F,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284970,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284971,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284972,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284973,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284974,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284975,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284976,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284977,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284978,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284979,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D28497A,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28497B,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28497C,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D28497D,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D28497E,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D28497F,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284980,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284981,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284982,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284983,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284984,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284985,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284986,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284987,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284988,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284989,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28498A,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28498B,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28498C,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28498D,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28498E,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28498F,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284990,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284991,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284992,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284993,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284994,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D284995,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284996,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284997,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284998,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D284999,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D28499A,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D28499B,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28499C,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D28499D,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28499E,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D28499F,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D2849A0,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849A1,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849A2,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003D2849A3,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849A4,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849A5,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849A6,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003D2849A7,Methow River,8/10/2018,2018,48.05039,-119.904106
