tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,comment,length,mark_count
3D9.1A4FD2A006,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/26/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/26/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",130,1
3D9.1A4FD2A007,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",125,1
3D9.1A4FD2A008,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",133,1
3D9.1A4FD2A009,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",122,1
3D9.1A4FD2A00A,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/26/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/26/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",132,1
3D9.1A4FD2A00B,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",129,1
3D9.1A4FD2A00C,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/25/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/25/2025,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",104,1
3D9.1A4FD2A00D,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",127,1
3D9.1A4FD2A00E,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/27/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",131,1
3D9.1A4FD2A00F,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",136,1
3D9.1A4FD2A010,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/27/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",126,1
3D9.1A4FD2A011,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",122,1
3D9.1A4FD2A012,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2025,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",130,1
3D9.1A4FD2A013,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2025,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",126,1
3D9.1A4FD2A014,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/25/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/25/2025,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",105,1
3D9.1A4FD2A015,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/26/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/26/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",125,1
3D9.1A4FD2A016,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",125,1
3D9.1A4FD2A017,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",130,1
3D9.1A4FD2A018,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/2/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/2/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",122,1
3D9.1A4FD2A019,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",127,1
3D9.1A4FD2A01A,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/27/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",133,1
3D9.1A4FD2A01B,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/27/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",133,1
3D9.1A4FD2A01C,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",117,1
3D9.1A4FD2A01D,CGS-2025-064-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2025,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",124,1
