tag_code,life_stage,release_site_label,release_site_code,release_site_name,release_date,release_year,release_lat,release_lon,length_mm
3D9.1A4FA10421,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,130
3D9.1A4FA10422,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,116
3D9.1A4FA10423,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,124
3D9.1A4FA10424,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,123
3D9.1A4FA10425,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,121
3D9.1A4FA10426,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,128
3D9.1A4FA10427,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,133
3D9.1A4FA10428,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,2021,48.151085,-120.056584,107
3D9.1A4FA10429,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,2021,48.151085,-120.056584,136
3D9.1A4FA1042A,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,84
3D9.1A4FA1042B,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,98
3D9.1A4FA1042C,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,111
3D9.1A4FA1042D,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,103
3D9.1A4FA1042E,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,2021,48.151085,-120.056584,116
3D9.1A4FA1042F,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2021,2021,48.151085,-120.056584,110
3D9.1A4FA10430,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,122
3D9.1A4FA10431,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,129
3D9.1A4FA10432,Macropthalmia (eyed juvenile),METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,137
3D9.1A4FA10433,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,132
3D9.1A4FA10434,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,2021,48.151085,-120.056584,113
3D9.1A4FA10435,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,131
3D9.1A4FA10436,Macropthalmia (eyed juvenile),METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,130
3D9.1A4FA10437,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,2021,48.151085,-120.056584,104
3D9.1A4FA10438,Macropthalmia (eyed juvenile),METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,135
3D9.1A4FA10439,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,124
3D9.1A4FA1043A,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,2021,48.151085,-120.056584,108
3D9.1A4FA1043B,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,124
3D9.1A4FA1043C,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,100
3D9.1A4FA1043D,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,134
3D9.1A4FA1043E,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,132
3D9.1A4FA1043F,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,108
3D9.1A4FA10440,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,2021,48.151085,-120.056584,117
3D9.1A4FA10441,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,102
3D9.1A4FA10442,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,2021,48.151085,-120.056584,118
3D9.1A4FA10443,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2021,2021,48.151085,-120.056584,114
3D9.1A4FA10444,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,127
3D9.1A4FA10445,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,138
3D9.1A4FA10446,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,101
3D9.1A4FA10447,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,120
3D9.1A4FA10448,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,133
3D9.1A4FA10449,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,120
3D9.1A4FA1044A,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,108
3D9.1A4FA1044C,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,102
3D9.1A4FA1044D,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,2021,48.151085,-120.056584,123
3D9.1A4FA1044E,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,2021,48.151085,-120.056584,121
3D9.1A4FA1044F,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,102
3D9.1A4FA10450,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,2021,48.151085,-120.056584,110
3D9.1A4FA10451,Macropthalmia (eyed juvenile),METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,128
3D9.1A4FA10452,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,2021,48.151085,-120.056584,118
3D9.1A4FA10453,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,96
3D9.1A4FA10454,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,132
3D9.1A4FA10455,Macropthalmia (eyed juvenile),METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,135
3D9.1A4FA10456,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,132
3D9.1A4FA10457,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,107
3D9.1A4FA10458,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,97
3D9.1A4FA10459,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,131
3D9.1A4FA1045A,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,107
3D9.1A4FA1045B,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,114
3D9.1A4FA1045C,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,128
3D9.1A4FA1045D,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,130
3D9.1A4FA1045E,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,136
3D9.1A4FA1045F,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,131
3D9.1A4FA10460,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,142
3D9.1A4FA10461,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,118
3D9.1A4FA10462,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,132
3D9.1A4FA10463,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,126
3D9.1A4FA10464,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,125
3D9.1A4FA10465,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,96
3D9.1A4FA10466,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,132
3D9.1A4FA10467,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,122
3D9.1A4FA10469,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,111
3D9.1A4FA1046A,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,110
3D9.1A4FA1046B,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,95
3D9.1A4FA1046C,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,114
3D9.1A4FA1046D,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,130
3D9.1A4FA1046E,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,126
3D9.1A4FA1046F,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,114
3D9.1A4FA10471,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,138
3D9.1A4FA10472,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,104
3D9.1A4FA10473,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,120
3D9.1A4FA10474,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,135
3D9.1A4FA10475,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,107
3D9.1A4FA10476,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,137
3D9.1A4FA10477,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,126
